custid,startlen,time,payleft,lagtest,cancelnow
5998,12,2,10,4,0
5998,12,3,9,4,0
5998,12,4,8,4,0
5998,12,5,7,4,0
5998,12,6,6,1,0
5998,12,7,5,0,0
5998,12,8,4,0,0
5998,12,9,3,4,0
5998,12,10,2,4,0
5998,12,11,1,4,0
5999,6,1,5,4,0
5999,6,2,4,4,0
5999,6,3,3,4,0
5999,6,4,2,4,0
5999,6,5,1,4,0
5999,6,6,0,4,0
5999,6,7,5,4,0
5999,6,8,4,4,0
5999,6,9,3,4,0
5999,6,10,2,4,0
5999,6,11,1,4,0
6000,1,1,0,4,0
6000,1,2,0,4,0
6000,1,3,0,4,0
6000,1,4,0,3,0
6000,1,5,0,4,0
6000,1,6,0,4,0
6000,1,7,0,4,0
6000,1,8,0,4,0
6000,1,9,0,4,0
6000,1,10,0,3,0
6000,1,11,0,0,0
6001,6,1,5,4,0
6001,6,2,4,2,0
6001,6,3,3,1,0
6001,6,4,2,3,0
6001,6,5,1,2,0
6001,6,6,0,4,0
6001,6,7,5,4,0
6001,6,8,4,4,0
6001,6,9,3,0,0
6001,6,10,2,0,0
6001,6,11,1,0,0
6002,6,1,5,4,0
6002,6,2,4,0,0
6002,6,3,3,2,0
6002,6,4,2,0,0
6002,6,5,1,0,0
6002,6,6,0,4,0
6002,6,7,5,4,0
6002,6,8,4,0,0
6002,6,9,3,0,0
6002,6,10,2,0,0
6002,6,11,1,0,0
6003,6,1,5,4,0
6003,6,2,4,0,0
6003,6,3,3,0,0
6003,6,4,2,0,0
6003,6,5,1,0,0
6003,6,6,0,0,0
6003,6,7,5,0,1
6004,6,1,5,4,0
6004,6,2,4,4,0
6004,6,3,3,4,0
6004,6,4,2,4,0
6004,6,5,1,4,0
6004,6,6,0,0,0
6004,6,7,5,0,0
6004,6,8,4,0,0
6004,6,9,3,0,1
6005,1,1,0,0,0
6005,1,2,0,0,1
6006,12,1,11,4,0
6006,12,2,10,4,0
6006,12,3,9,4,0
6006,12,4,8,4,0
6006,12,5,7,4,0
6006,12,6,6,4,0
6006,12,7,5,4,0
6006,12,8,4,4,0
6006,12,9,3,4,0
6006,12,10,2,4,0
6006,12,11,1,4,0
6007,6,1,5,0,0
6007,6,2,4,0,0
6007,6,3,3,0,0
6007,6,4,2,0,0
6007,6,5,1,0,0
6007,6,6,0,0,1
6008,6,1,5,2,0
6008,6,2,4,0,0
6008,6,3,3,0,0
6008,6,4,2,0,0
6008,6,5,1,0,0
6008,6,6,0,0,1
6009,1,1,0,4,0
6009,1,2,0,4,0
6009,1,3,0,4,0
6009,1,4,0,4,0
6009,1,5,0,4,0
6009,1,6,0,4,0
6009,1,7,0,4,0
6009,1,8,0,4,0
6009,1,9,0,4,0
6009,1,10,0,4,0
6009,1,11,0,4,0
6010,12,1,11,4,0
6010,12,2,10,4,0
6010,12,3,9,4,0
6010,12,4,8,4,0
6010,12,5,7,4,0
6010,12,6,6,4,0
6010,12,7,5,4,0
6010,12,8,4,4,0
6010,12,9,3,4,0
6010,12,10,2,4,0
6010,12,11,1,4,0
6011,12,1,11,4,0
6011,12,2,10,4,0
6011,12,3,9,4,0
6011,12,4,8,4,0
6011,12,5,7,4,0
6011,12,6,6,4,0
6011,12,7,5,4,0
6011,12,8,4,4,0
6011,12,9,3,4,0
6011,12,10,2,4,0
6011,12,11,1,4,0
6012,1,1,0,0,0
6012,1,2,0,0,0
6012,1,3,0,0,0
